text,label
"trainer funkel für niederlage pokal verantwortlich schlechte aufstellung späte wechsel muß daß sieg für geholt taktik hohe verteidigung aufstellung fink sensationell karaman unerwartet einstellung truppe perfekt weinzierl depp idee halbzeitpause fiel für hut ab funkel	",0
"supermarkt ecke spendendose für soziales projekt ausdrücklich kleingeld reinwerfen gebührenfrei großen aufwand	",0
"strassen ddr zeiten kommunen vertrösten jahren kontrolle zeigt oberfläche strassen weis brodelt glaube autos verschlungen hoffen euro diesel	",0
"na hoffentlich können evakuierten anwohner erholen kosten inkompetenten giftschlangenhalters	",0
"schildadorf schildbürgerdorf	",0
"zwangsabgabe fürs fernsehgucken umweltschädliches elektroauto aufzwängen quote haha jahr geleistet jahre fahren neusten standards gebaut	",0
"trio tsg gehört posten trostpflaster für verlorene hessen wahl bekommen spd hätte aufforderung bundespräsident ängsten bürger stellen für afd starke kraft	",0
"blaue tonne geliefert gelben säcke angegebenen abholpunkten vorhanden gebühren kürzen einzugsermächtigung widerrufen manuelle überweisung stadt endlich licht bürger permanent verarschen können lasse kartons strasse stehen mags abgeholt	",0
"für titanen gebrauchsanleitungen zuliefern verstehen posting angst frankreich lebenden nachwuchs erstmal lebenszeichen angefordert grade störe politisch korrekten wischiwaschi	",0
"düsseldorf einnehmenden geldes düsseldorf handball klappt garnicht spitzenspiele einkaufen eigenständiges beine stellen sportstadt blockiert	",0
"hoffentlich drama endlich hören tönnies großen fehler entschuldigt lage ehrliche entschuldigung anzunehmen für mensch genauso tragbar ethikkommission verfahren einleitet hätte zugespitzt posse hetzjagd krone aufgesetzt meinung thema	",0
"parteien ehrenwort wort über gesetz och	",0
"schaffen	",0
"natürlich spd hören alt greta weise menschen zukunft vergangenheit zurückführen	",0
"stadt gebe geld für soziales	",0
"sinnvolle abwesenheitsvermietung wohnraum geschaffen airbnb nutzer hotel würde bauland gebraucht können preiswert wohnungen gebaut können arme touristen airbnb urlaub reichen alimentierten	",0
"schreit regelrecht otto schneitberger glückwunschspiel alten	",0
"herr laschet glauben nrw cdu positives negativbeispiele überwiegen	",0
"zusammenhang elektromobilitaet stellt frage gehöre personen graue pappe besitzen erlaubnis führen fahrzeugen verbrennungsmaschinen erteilt stammt dürfen inhaber dokuments überhaupt elektrofahrzeuge führen	",0
"populisten cdu lach schlapp	",0
"personen kapitalismus für beste läsung inständig hoffen personen erfolg klientel kapitalisten spüren	",0
"einzelfall polizeibekannt system	",0
"über gemeinnützigkeit entscheidet zuständige finanzbehörde purer schwachsinn petition starten duh gemeinnützigkeit abzuerkennen	",0
"artikel hebt angenehm zeitschriften beschriebenen brände hitze	",0
"richtig entscheidung	",0
"idee rolf tups halte für schnapsidee schiffsverbindung köln duisburg wäre nett für sonntagsausflüge für berufliche pendler lärm hilft tägliche blechlawine reduzieren vorhandene nahverkehr ausgebaut attraktiver preise müssen sinken wien autoverkehr teurer denkprozess	",0
"prima nachunternehmerhaftung genauso wäre gelänge paketfahrer stvo parken zweiter reihe straßen fahrbahn blockieren fußwegen radwegen parken all täglich tausendfach geahndet hinnehmbar	",0
"dafür statistik wäre politik näher eindrücken sorgen bürger bräuchte innenminister überraschung heucheln phase analysierung anschliessend über relativierungen beschwichtigungen schluss erscheint flyer messer tisch verwenden	",0
"feinstaub verursacht asthma copd asthma copd lungenfachärzten behandelt asthma copd haupteinnahmequelle lungenfachärzten köhler grenzwerte nochmal korrigieren	",0
"artgerecht freiheit zoos tierparks	",0
"bilder menschen abbilden jederzeit zug trifft seltsam zufrieden wirken deckt bild db	",0
"giffey spahn heiße luft lieben	",0
"vernünftigste unsinnigen grenzwerte erhöhen gehört luft städten dieselfahrverbote jahr jahr	",0
"bestanden wichtigeres leben hauptsache detail geplant	",0
"stellt raphel wäre tor liebe fortuna fans wären rensing langenpfosten klasse jungs ff für fussball für kampf willen mannschaft stolz fortune	",0
"c a saturn gerüchte mcdonalds dicht karstadt gebe grosse zukunft superbaustelle rathaus ofen endgültig rheydt ghost town grillen zirpen hört büsche western	",0
"goretzka goretzka wahrlich abend kollege fußballtalent weiland tim thaler lachen geld eingetauscht verliert minute ball selbstverständlich stehen heulen	",0
"schneller schneller dreht karusell spielerwechsel höheren ablösesummen gehälter einfacher bürger lange gehe mewhr stadion leisten	",0
"dankeschön polizei völlig richtig gehandelt hierzu	",0
"soso merkwürdig	",0
"gespannt osterferien freitags demonstriert	",0
"zeigt stadt bedürfnisse familien umzusetzen weiß	",0
"bewerten	",0
"angekündigt hunderte schule geschwänzt freizeit mehrheit lieber ferien persönlichem engagement überzeugt	",0
"ach linken umweltspur einbringen abwandlung shakespeare gebrüllt möve	",0
"sträfiche vernachlässigen probleme ingorieren absehbaren entwicklungne über jahrzehte belohnt	",0
"fragt professorin türkei üblich interessiert ausschlaggebend üblich erlaubt richten müssen endlich aufhören entschuldigung für straftäter	",0
"schade neumarkt sonntag überwiegend autos zugestellt abtörnend woodstock auftritt gerecht gelungenes	",0
"legt hennes berufung rom entschieden rom verlässt	",0
"parkplatz belassen bäume pflanzen	",0
