text,label
"Herr Altmaier hat nie etwas anderes gelernt, als in irgendwelchen politischen Positionen zu überleben. Seine Sprechblasen sind legenedär und gehen Merz sofort auf die Nerven. Damit PA Karriere erstmal beendet.",1
"Möglicherweise militante Anti-Auto-Aktivisten ?  Bei der ""angeheizten"" Stimmung die momentan geschürt wird..",0
Welcher Politiker ist normal ich kenne keinen die sitzen alle auf so einen Ross das wenn sie runter Fallen tut es weh aber warum das passiert wissen die dann immer noch nicht,1
"Da besteht aber erheblicher Erziehungsbedarf bei den ""Grünradikalen"".  Auch in punkto Hygiene. Das man nicht mit Fäkalien von Bäumen wirft.  Aber die Dachorganisation kümmert sich lieber vom Schreibtisch aus um Rauchverbote in Autos.  Da braucht man ja nicht hinaus in die Natur und seinen ""Truppen"" Rede und Antwort stehen.",0
"Ost- Quote ? Eine Fr. Merkel reicht. Mich erinnert Fr. Merkel immer an den Top Spion im Kanzleramt unter Willy Brand ( Guliom) , der Agent aus dem Osten.  ",1
“Ich bin nicht das Anhängsel des Altkanzlers“ Und Schweine können fliegen und die Erde ist eine Scheibe,1
"Ein Restaurantbesuch sollte für die Kleinen etwas besonderes sein!  Pommes, Fischstäbchen und Nuggets sind vollkommen OK, wenn sie nicht jeden Tag auf dem Teller landen!",0
"Diesem Abou Abou Clown sollte nun mal das ""Handwerk"" gelegt werden und dem Rest seiner Sippe auch!",1
"Niemand ist vor dem Klimawandel sicher. Ob arm oder reich, die Folgen treffen alle. Auch uns... Aber die meisten Menschen sind leider zu blöd, um das zu verstehen bevor es zu spät ist.. ",0
"""Sieben Männer und neun Frauen haben dort Platz genommen, um im Hintergrund der Redner ein nettes Familientreffen zu inszenieren.""  Eigentlich sind es ja sechs Männer und zehn Frauen. Denn Lindner ist eine Muschi und scheut die Verantwortung wie der Teufel das Weihwasser.  ",1
Stilmus in Benrath!,0
"Die FDP will das Grundgesetz ändern und den Artikel zur Eigentumsverpflichtung bzw. Enteignung einfach streichen! Alle die diese angebliche ""Bürgerrechtspartei"" wählen, sollten vorsichtig sein, dass sie am Ende nicht im Gullag landen! FDP = Unrechtspartei  ",1
"Warum eigentlich soll der Steuerzahler  Profifussball finanzieren ? Wenn ich etwas Bauen will muss ich das auch selbst bezahlen. Oder gibt mir die Stadt Krefeld für irgend eine Sache Kredite  ""Nein"" Als kleiner selbständiger muss ich für jeden Scheiß bezahlen ohne  dass mich jemand fragt wie ich das finanzieren kann.    ",1
"Ich bin ein christlich denkender und handelnder Mensch. Trotzdem bin in wegen solcher und anderer Vorfälle in der katholischen Kirche vor Jahren aus der Kirche ausgetreten und glaube, eine Reihe guter Argumente zu haben, wenn ich dereinst an der Himmelspforte stehe und Einlass erbitte. Der liebe Gott vergibt, aber der Mensch nicht. ",0
Für mich galt und gilt weiterhin die Unschuldsvermutung. Und das sollte auch für die Medien gelten.,0
"Mit Isopropanol kann man auch Schallplatten reinigen... viel Wind um nichts und der Versuch, deutsche Firmen zu diskreditieren.",0
"Was hat das Verhältnis zu der Regierung im 3. Reich mit der Eigentumsrückforderung zu tun? Gingen die Immobilien verloren, weiul der Hochadel kein Geld mehr für den Unterhalt hatte? In den neuen Bundesländern konnte jeder Hinz und Kunz sein Eigentum zurückfordern, ungeprüft seines Verhältnisses zum SED-Regime. ",0
Super interessanter Hauptartikel. Um das Ganze abzurunden bitte noch folgende Recherchen beginnen: 1. Was macht der Weihnachtsmann im Sommer?  2. Warum flüchtet das Licht Abends in den Kühlschrank? 3. Wo zum Teufel ist Robocop?,0
Wer hat uns verraten - Sozialdemokraten !,1
Warum kann sich dieser Typ nicht einfach mal an Nuhr orientieren (und die F.... halten)?   Es ist wirklich unerträglich. . . . ,1
"Ihre Chancen steigen? Nein , nicht Ihre sonder die der Kinder!!!",0
"Mit solchen Vollpfosten kann man nicht arbeiten! Aber der wird sich mit seinem Schwachsinn, den er verbreitet, selbst von der politischen Bühne schießen, denn selbst der dümmste britische Parlamentarier wird ihm nicht  folgen, wenn er auf Teufel komm raus die EU verlassen wird!",1
"Die Brühe passt doch topp zum Erwin-Dome. Dazu dann noch ein Gammelwürstchen von Thönmies, damit der Magen so richtig in Stimmung kommt trotz des meist zweitklassigen Programms in der Arena.",1
"Ich hätte da einen ganz pragmatischen Lösungsvorschlag: Lasst diese Chaoten sich ungestört die Schädel einschlagen, dann dauert es nicht allzu lange, bis nur ein Hirnloser übrig ist und für den reichen dann max. zwei Polizisten. ",1
"Deutschland ist inzwischen das ganze Jahr über bunter als der Karneval. Und es gibt Politiker, die haben sich darauf  gefreut. Und solchen ""Clans"" auch noch die Deutsche Staatsbürgerschaft hinterhergeworfen. Am Rande: die ""Clans"" sind die sogenannten ""Flüchtlinge"" der 80er Jahre. Man sieht, wohin Willkommenskultur führt. ",1
"Wer oder was ist ""Özil""?",0
"Ist doch nur ""Rücksichtnahme"" auf unsere ""Gäste"" ?",1
"Das ist richtig, gut und nützlich!",0
"Böhmer wer? Ach ist es nicht der, dem ein jüdischer Künstler/Comedian nun Antisemitismus vorwirft?",0
"Soweit, so richtig. Aber wenn das shcon mal so krachend gescheitert ist, warum wird das dann von dieser Regierung in kleinen Schritten angestrebt? Kann es sein, dass Merkel's politische Karriere in der DDR damit zusammen hängt? Keine Woche vergeht, in der nicht irgend etwas reglementiert wird. ",0
"Drei Unfälle pro Jahr am Tennisschläger? Das ist aber leicht untertrieben....vermutlich haben sich (die meist niederländischen) Unfallfahrer in großer Mehrzahl unerlaubt vom Unfallort entfernt. Die Leitplanken sind auf beiden Seiten des Bauwerks keine 2 Wochen heil geblieben. Sobald es geregnet hat, hat es auch wieder gekracht...",0
Unfassbar wie unflexibel Autofahrer sind und bereit für Ihren Stellplatz zu bezahlen sind die wenigsten. Daher kann man über flächendeckende Parkraumbewirtschftung und Anwohnerparken viel erreichen.,0
Eine Rückkehr der Dreikönigenschule an die Weberstraße stellt die Schuldezernentin in Aussicht. Das ist nichts als Augenwischerei! An der Weberstraße soll doch die Gesamtschule erweitert werden. Da ist dann kein Platz mehr. Und warum wohl soll es dauerhaft eine Grundschule im Hammfeld geben? Da wohnt doch niemand. Die Gesamtschüler werden bevorzugt. Dafür hat man die Grundschüler ans andere Ende der Stadt ausquartiert. So sieht Schulentwicklung in Neuss aus!,0
"► Ob das Motiv überhaupt in Düsseldorf plakatiert worden ist, ist aber noch ungewiss. ► Bislang seien auch noch keine ohne Genehmigung aufgestellten Plakate im Stadtgebiet gesichtet worden.  Paranoia?!",0
Passt alles zu Geisel ein Mensch der nichts kann,1
"Glaubt denn wirklich jemand allen Ernstes das mit höheren Kraftstoffsteuern die Schulden eines Staates abgebaut werden können ?  Oder erhöhen die Schulden sich lediglich nicht weil mit dem Geld aus den Taschen der Bürger die Kriegsspielereien finanziert werden?  Es macht sich hier noch nicht einmal jemand Gedanken darüber ob er nicht  mit seiner Mehrwertsteuer auf ein Produkt an der Ladenkasse Steuern an den Staat bezahlt auf die Gewinne der Unternehmen die diese vorher ""eingepreist"" haben.",0
